CONDITION,FP,FAD Intensity,FA1,FAD a1,FA2,FAD a2,FT1,FAD t1,FT2,FAD t2,FTM,FAD tm,NP,NADPH Intensity,NA1,NADPH a1,NA2,NADPH a2,NT1,NADPH t1,NT2,NADPH t2,NTM,NADPH tm,RR,Redox Ratio
100k-0.62-D0,331.1515479,-0.69549901,78.04233273,0.245550092,21.95766727,-0.24555006,229.2097468,0.728024491,2091.501217,-0.568219773,635.2905949,-0.19941148,473.7334702,-0.420263604,69.59401808,0.778212087,30.40598011,-0.7782127,465.9003219,0.887307002,2567.673756,0.334302409,1099.648063,-0.096676703,1.474571429,0.464741899
1.5M-9UM-0.51-D0,498.7066444,0.80033891,74.81762204,-0.472674267,25.18237796,0.472674307,214.4919911,0.249584468,2180.823685,0.073478327,708.9321651,0.344025004,417.1110553,-1.254055766,64.50930834,-0.922915725,35.49069121,0.922915545,488.6936957,1.3087906,2590.517423,0.668122357,1222.124783,1.12127691,0.954456939,-1.606273877
1.5M-12UM-0.27-D0,399.4510033,-0.085759782,73.15500814,-0.842980296,26.84499146,0.84298025,214.3053385,0.243516826,2283.230578,0.809175744,768.3666037,0.782620247,464.7242413,-0.552928813,62.29350285,-1.664230087,37.70649797,1.664230319,502.8057754,1.569744077,2613.33141,1.001508589,1286.511751,1.761564638,1.218363303,-0.555439387
600k-8um-1219D0LOW,269.8419066,-1.2428371,82.99933546,1.349599558,17.00066452,-1.349599543,180.3055575,-0.86173701,2122.195954,-0.347706895,508.4231605,-1.135627158,409.7187015,-1.362911715,66.17985551,-0.36402163,33.82014449,0.364021607,361.975791,-1.034413124,2433.814605,-1.621813276,1057.919483,-0.511641075,1.628205234,1.076488045
600k-10um-1219D0LOW,288.2095924,-1.078860703,84.89274856,1.771310385,15.10725141,-1.771310376,155.5237252,-1.667336763,2091.233393,-0.570143836,446.5243616,-1.592408098,435.6365875,-0.981258437,66.52238021,-0.249427421,33.47761978,0.249427395,309.5667682,-2.0035344,2386.856734,-2.308019834,1002.110148,-1.066629662,1.599493452,0.962162153
500k-19.6-D0,387.3211939,-0.194047916,77.81082683,0.193987892,22.18917317,-0.19398786,219.4746268,0.411558372,2065.490601,-0.755081636,626.6691817,-0.263033026,509.6324354,0.108365842,66.15930122,-0.370898223,33.84069878,0.3708982,464.0680817,0.853426139,2581.557157,0.537183864,1174.729604,0.649961789,1.343313415,-0.057907293
1.5M-21.7-D0,346.8052957,-0.55575113,77.85368768,0.203534084,22.14631315,-0.203533867,217.3417287,0.342222814,2152.394617,-0.130757844,643.7179382,-0.13722207,482.7573604,-0.287382501,62.74734674,-1.512393204,37.25265284,1.512393028,482.9282298,1.202178506,2610.94494,0.966634537,1266.850293,1.566043856,1.448989631,0.362879121
2M-15.1-D0,436.0714707,0.241167212,78.52145713,0.352263174,21.47854244,-0.352263238,208.3831643,0.05100071,2112.037287,-0.42068738,615.8307084,-0.343015321,462.9746677,-0.578692121,63.16623684,-1.372250378,36.83376273,1.3722502,478.141163,1.113658476,2587.445213,0.623227433,1245.370459,1.352440471,1.25954966,-0.391441659
IMR90-26.4-D0,399.1597018,-0.088360358,72.31952819,-1.029062741,27.6804723,1.029062898,224.7864426,0.584233155,2278.596839,0.775886682,791.7616177,0.955263282,457.3248867,-0.66188785,61.41703511,-1.957458946,38.58296489,1.957458903,505.6679777,1.622670482,2615.900991,1.039058488,1307.654907,1.97181996,1.206622156,-0.602190827
9UM-38.5-D0,252.3279238,-1.399192115,83.12209229,1.376940599,16.87790771,-1.37694058,159.1438891,-1.549653653,1999.055723,-1.232353888,467.8649924,-1.434925343,430.57934,-1.055728828,65.61381414,-0.55339502,34.38618628,0.553395136,394.3135572,-0.436439426,2474.972958,-1.020356456,1104.313268,-0.050284193,1.754861981,1.580815702
10UM-53.2-D0,270.0204008,-1.241243603,82.25610203,1.184062736,17.74389797,-1.184062715,167.7031567,-1.271411762,1954.131488,-1.555092353,482.3265518,-1.328206557,441.4783714,-0.895235373,66.03483187,-0.412540378,33.96516775,0.412540227,393.2838231,-0.45548075,2455.225549,-1.308930045,1088.046834,-0.212043598,1.69338441,1.336021482
500K-9UM-64.8-D0,351.2198772,-0.516340223,79.57156537,0.586148749,20.42843463,-0.586148721,159.628232,-1.533908789,2210.641548,0.287691694,578.6499471,-0.61739,392.8743132,-1.610953395,63.46193577,-1.273322083,36.53806452,1.273322143,498.0538164,1.481873241,2588.816595,0.643267759,1247.743545,1.376039314,1.193350311,-0.655037269
500K-10UM-51.8-D0,331.5913906,-0.691572341,82.42073053,1.220729655,17.57926997,-1.220729521,168.04283,-1.260369771,1908.265094,-1.884599348,472.2225379,-1.402768923,435.5106997,-0.983112195,65.19729847,-0.692743463,34.80270153,0.692743435,472.1501466,1.002875615,2562.646075,0.260831707,1189.901019,0.800831927,1.448439186,0.360687333
600K-6UM 1227D0HGH,284.113268,-1.11543039,76.40177186,-0.11984417,23.59822815,0.119844209,218.259685,0.372063438,2160.772066,-0.070573736,673.0335358,0.079111792,435.0239828,-0.990279334,64.99790327,-0.759452623,35.00209671,0.759452591,400.2969175,-0.325798137,2500.613509,-0.645664967,1129.798118,0.203146547,1.621779131,1.050900293
800k-6um-1227D0HIGH,285.5666729,-1.102455206,77.50092239,0.124964361,22.49907761,-0.124964328,202.0406082,-0.155181041,2151.978889,-0.133744456,637.9124707,-0.180063401,421.9874347,-1.182248746,64.48196882,-0.932062367,35.51803118,0.932062338,409.3825474,-0.157791241,2506.961226,-0.552904257,1147.602398,0.380198867,1.58397156,0.900356367
