CONDITION,FP,FAD Intensity,FA1,FAD a1,FA2,FAD a2,FT1,FAD t1,FT2,FAD t2,FTM,FAD tm,NP,NADPH Intensity,NA1,NADPH a1,NA2,NADPH a2,NT1,NADPH t1,NT2,NADPH t2,NTM,NADPH tm,RR,Redox Ratio
0.03-D0,498.7066444,0.544135674,74.81762204,-0.244068977,25.18237796,0.244069028,214.4919911,0.03353489,2180.823685,-0.061388271,708.9321651,0.108858111,417.1110553,-1.394240546,64.50930834,-0.81659513,35.49069121,0.816594957,488.6936957,1.113806018,2590.517423,0.490762037,1222.124783,0.891279043,0.954456939,-1.371667106
0.27-D0,399.4510033,-0.327675358,73.15500814,-0.639750841,26.84499146,0.639750797,214.3053385,0.027452824,2283.230578,0.597831134,768.3666037,0.554543177,464.7242413,-0.590877344,62.29350285,-1.503028548,37.70649797,1.503028755,502.8057754,1.409958347,2613.33141,0.869296965,1286.511751,1.504316234,1.218363303,-0.21214602
0.62-D0,331.1515479,-0.92758301,78.04233273,0.5233729,21.95766727,-0.523372852,229.2097468,0.513112283,2091.501217,-0.636379875,635.2905949,-0.443362937,473.7334702,-0.438867289,69.59401808,0.75859488,30.40598011,-0.758595453,465.9003219,0.635470378,2567.673756,0.111734659,1099.648063,-0.274838671,1.474571429,0.913551436
15.1-D0,436.0714707,-0.006019811,78.52145713,0.637398673,21.47854244,-0.637398727,208.3831643,-0.16552095,2112.037287,-0.50418393,615.8307084,-0.589288112,462.9746677,-0.620397382,63.16623684,-1.232664665,36.83376273,1.232664492,478.141163,0.892353392,2587.445213,0.439787237,1245.370459,1.112604322,1.25954966,-0.031186196
19.6-D0,387.3211939,-0.434217429,77.81082683,0.468277314,22.18917317,-0.468277267,219.4746268,0.195893847,2065.490601,-0.803816872,626.6691817,-0.508012915,509.6324354,0.166845332,66.15930122,-0.305444558,33.84069878,0.30544453,464.0680817,0.597019476,2581.557157,0.342091253,1174.729604,0.440023013,1.343313415,0.336845243
21.7-D0,346.8052957,-0.790088457,77.85368768,0.478477675,22.14631315,-0.47847743,217.3417287,0.126393461,2152.394617,-0.244393462,643.7179382,-0.380168246,482.7573604,-0.286609858,62.74734674,-1.362432446,37.25265284,1.362432274,482.9282298,0.992813495,2610.94494,0.829700108,1266.850293,1.317116783,1.448989631,0.801153109
26.4-D0,399.1597018,-0.330234002,72.31952819,-0.838584895,27.6804723,0.838585067,224.7864426,0.36897912,2278.596839,0.568002572,791.7616177,0.729976958,457.3248867,-0.715724464,61.41703511,-1.774549105,38.58296489,1.774549056,505.6679777,1.470023758,2615.900991,0.911932043,1307.654907,1.705623125,1.206622156,-0.263732907
38.5-D0,252.3279238,-1.619929604,83.12209229,1.73229382,16.87790771,-1.732293779,159.1438891,-1.769980463,1999.055723,-1.231475203,467.8649924,-1.698848686,430.57934,-1.166994163,65.61381414,-0.474430762,34.38618628,0.474430863,394.3135572,-0.866830304,2474.972958,-1.42637833,1104.313268,-0.230420619,1.754861981,2.145059462
51.8-D0,331.5913906,-0.923719656,82.42073053,1.565378262,17.57926997,-1.565378099,168.04283,-1.480008882,1908.265094,-1.815917738,472.2225379,-1.666172463,435.5106997,-1.083788788,65.19729847,-0.603462969,34.80270153,0.603462937,472.1501466,0.766627525,2562.646075,0.028314217,1189.901019,0.584472143,1.448439186,0.798734628
53.2-D0,270.0204008,-1.464527891,82.25610203,1.526198681,17.74389797,-1.526198639,167.7031567,-1.491077123,1954.131488,-1.52066401,482.3265518,-1.590404807,441.4783714,-0.983098029,66.03483187,-0.344003864,33.96516775,0.344003717,393.2838231,-0.888440027,2455.225549,-1.75403188,1088.046834,-0.385295571,1.69338441,1.874946459
65.5-D0,351.2198772,-0.75131302,79.57156537,0.887311646,20.42843463,-0.8873116,159.628232,-1.75419817,2210.641548,0.130556957,578.6499471,-0.868098014,392.8743132,-1.803179926,63.46193577,-1.141060224,36.53806452,1.141060272,498.0538164,1.310235006,2588.816595,0.462541516,1247.743545,1.135198802,1.193350311,-0.322045196
